S.L No,CustomerID,Gender,Location,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,GST,Offline_Spend,Online_Spend,Month,Discount_pct
29,14688,F,New York,16732,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
30,14688,F,New York,16733,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
31,14688,F,New York,16736,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
32,17850,M,Chicago,16879,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
33,17850,M,Chicago,16880,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
34,17850,M,Chicago,16881,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
35,17850,M,Chicago,16882,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
36,17850,M,Chicago,16883,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
37,17850,M,Chicago,16886,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
38,12431,F,New Jersey,16819,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
39,12431,F,New Jersey,16819,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
40,12431,F,New Jersey,16822,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,102.13,6.5,0.1,4500,1576.38,1,10
41,12431,F,New Jersey,16823,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,6.5,0.1,4500,1576.38,1,10
42,12431,F,New Jersey,16825,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
43,17511,F,Chicago,16826,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
44,17511,F,Chicago,16830,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
45,17511,F,Chicago,16833,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
46,17511,F,Chicago,16835,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
47,17511,F,Chicago,16836,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
48,17511,F,Chicago,16836,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,1576.38,1,10
49,17511,F,Chicago,16837,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
50,17511,F,Chicago,16842,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
51,17548,M,Chicago,16844,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
52,17548,M,Chicago,16846,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
53,17548,M,Chicago,16847,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
54,13705,F,Chicago,16849,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
55,13705,F,Chicago,16851,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
56,13705,F,Chicago,16853,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
57,13705,F,Chicago,16854,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,6.5,0.1,4500,1576.38,1,10
58,13705,F,Chicago,16856,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
59,13747,F,Chicago,16857,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
60,13408,M,Chicago,16859,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
61,13408,M,Chicago,16861,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
62,13408,M,Chicago,16863,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
63,13408,M,Chicago,16865,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,35.96,0.1,4500,1576.38,1,10
64,13767,F,Chicago,16869,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
65,13767,F,Chicago,16869,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,1576.38,1,10
66,13767,F,Chicago,16870,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
67,13767,F,Chicago,16871,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
68,13767,F,Chicago,16872,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
69,13767,F,Chicago,16874,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
70,13767,F,Chicago,16875,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
71,13767,F,Chicago,16876,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
72,17924,M,New Jersey,16888,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,28.78,0.1,4500,1576.38,1,10
73,13448,F,California,16890,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
74,13448,F,California,16896,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
75,13448,F,California,16897,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
76,15862,F,California,16907,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
77,15862,F,California,16910,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
78,15862,F,California,16912,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5,81.5,6.5,0.1,4500,1576.38,1,10
79,15862,F,California,16914,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
80,15862,F,California,16915,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
81,15862,F,California,16916,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,1576.38,1,10
82,15862,F,California,16917,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
83,15862,F,California,16918,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
84,15862,F,California,16918,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
85,15862,F,California,16919,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
86,15862,F,California,16920,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,1576.38,1,10
87,15862,F,California,16920,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
88,15862,F,California,16923,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
89,15862,F,California,16924,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
90,15862,F,California,16925,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
91,15862,F,California,16926,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
92,15862,F,California,16926,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
93,15862,F,California,16928,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
94,15862,F,California,16929,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
95,15862,F,California,16930,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
96,15862,F,California,16931,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
97,15862,F,California,16932,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
98,15862,F,California,16934,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
99,15862,F,California,16935,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
100,15862,F,California,16938,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
101,15862,F,California,16939,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
102,15862,F,California,16939,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
103,15862,F,California,16942,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
104,15862,F,California,16943,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
105,15862,F,California,16946,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
106,15862,F,California,16947,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
107,15862,F,California,16948,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
108,15862,F,California,16949,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,1576.38,1,10
109,15862,F,California,16949,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
110,15862,F,California,16950,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
111,15862,F,California,16951,3-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
112,15513,F,Chicago,16952,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
113,15513,F,Chicago,16953,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,6.5,0.1,4500,1576.38,1,10
114,15513,F,Chicago,16955,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5,81.5,6.5,0.1,4500,1576.38,1,10
115,12791,F,Washington DC,16957,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
116,16218,M,Chicago,16958,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
117,16218,M,Chicago,16959,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
118,16218,M,Chicago,16959,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
119,16218,M,Chicago,16960,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
120,16218,M,Chicago,16963,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,1576.38,1,10
121,16218,M,Chicago,16964,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
122,16218,M,Chicago,16964,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
123,16218,M,Chicago,16964,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
124,16218,M,Chicago,16966,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,81.5,6.5,0.1,4500,1576.38,1,10
125,16218,M,Chicago,16969,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
126,16218,M,Chicago,16969,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
127,16218,M,Chicago,16971,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
128,16218,M,Chicago,16971,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,81.5,6.5,0.1,4500,1576.38,1,10
129,16218,M,Chicago,16972,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,1576.38,1,10
130,16218,M,Chicago,16975,3-Jan-19,GGOENEBB079299,Nest Protect Smoke + CO Black Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,1576.38,1,10
131,16218,M,Chicago,16975,3-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,1576.38,1,10
132,16218,M,Chicago,16976,3-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
133,16218,M,Chicago,16976,3-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,1576.38,1,10
134,16218,M,Chicago,16980,3-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,81.5,6.5,0.1,4500,1576.38,1,10
135,17850,M,Chicago,16984,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
136,17850,M,Chicago,16984,4-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,2928.55,1,10
137,17850,M,Chicago,16987,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,5,153.71,6.5,0.1,4500,2928.55,1,10
138,16218,M,Chicago,16982,4-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2928.55,1,10
139,16218,M,Chicago,16982,4-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2928.55,1,10
140,14307,F,California,16994,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
141,14307,F,California,17000,4-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2928.55,1,10
142,14307,F,California,17003,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
143,14307,F,California,17004,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
144,14307,F,California,17006,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
145,14307,F,California,17009,4-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,2928.55,1,10
146,14307,F,California,17009,4-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,2928.55,1,10
147,14307,F,California,17010,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
148,14307,F,California,17011,4-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2928.55,1,10
149,14307,F,California,17014,4-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2928.55,1,10
150,14307,F,California,17019,4-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2928.55,1,10
