,Student_ID,Name,Age,Gender,Location,Enrolment_Date,Course_ID,Time_Spent_Minutes,Completion_Percentage,Rating,Feedback_Text
49,S015,Student_15,18,Other,Bangalore,16/01/2023,UX303,278,70.55,,
50,S016,Student_16,29,Male,Mumbai,17/02/2023,DM101,110,82.13,3,Loved the examples
51,S016,Student_16,29,Male,Mumbai,17/02/2023,PY202,285,71.89,,
52,S016,Student_16,29,Male,Mumbai,17/02/2023,WD404,180,50.99,,
53,S017,Student_17,29,Male,Bangalore,22/04/2023,DM101,184,39.78,,
54,S017,Student_17,29,Male,Bangalore,22/04/2023,PY202,129,78.92,5,Great course!
55,S017,Student_17,29,Male,Bangalore,22/04/2023,UX303,30,22.45,,
56,S017,Student_17,29,Male,Bangalore,22/04/2023,WD404,341,50.51,,
57,S018,Student_18,34,Female,Bangalore,30/04/2023,DM101,335,60.8,,
58,S018,Student_18,34,Female,Bangalore,30/04/2023,PY202,66,34.56,3,Too fast-paced
59,S018,Student_18,34,Female,Bangalore,30/04/2023,UX303,117,58.44,,
60,S018,Student_18,34,Female,Bangalore,30/04/2023,WD404,348,94.85,,
61,S019,Student_19,27,Male,Chennai,16/09/2023,DM101,203,77.41,,
62,S019,Student_19,27,Male,Chennai,16/09/2023,PY202,168,79.02,,
64,S019,Student_19,27,Male,Chennai,16/09/2023,WD404,156,60.76,,
65,S020,Student_20,33,Other,Chennai,5/11/2023,DM101,266,70.96,,
66,S020,Student_20,33,Other,Chennai,5/11/2023,PY202,87,86.53,,
67,S020,Student_20,33,Other,Chennai,5/11/2023,WD404,60,16.84,,
68,S021,Student_21,32,Other,Delhi,14/01/2023,DM101,135,19.5,,
69,S021,Student_21,32,Other,Delhi,14/01/2023,PY202,236,89.35,,
70,S021,Student_21,32,Other,Delhi,14/01/2023,UX303,413,79.72,4,Needs improvement
71,S021,Student_21,32,Other,Delhi,14/01/2023,WD404,321,96.89,,
72,S022,Student_22,32,Male,Delhi,15/10/2023,PY202,207,74.81,4,Could be better
73,S022,Student_22,32,Male,Delhi,15/10/2023,UX303,244,89.23,,
74,S022,Student_22,32,Male,Delhi,15/10/2023,WD404,85,72.15,,
75,S023,Student_23,29,Other,Mumbai,12/4/2023,DM101,85,30.47,,
76,S023,Student_23,29,Other,Mumbai,12/4/2023,PY202,99,97.69,1,Excellent instructor
77,S023,Student_23,29,Other,Mumbai,12/4/2023,UX303,499,95.58,,
78,S024,Student_24,20,Other,Delhi,29/11/2023,DM101,471,83,,
79,S024,Student_24,20,Other,Delhi,29/11/2023,PY202,107,50.55,,
80,S024,Student_24,20,Other,Delhi,29/11/2023,UX303,241,20.66,,
81,S024,Student_24,20,Other,Delhi,29/11/2023,WD404,419,99.1,,
82,S025,Student_25,22,Male,Bangalore,26/12/2023,DM101,81,46.77,,
83,S025,Student_25,22,Male,Bangalore,26/12/2023,PY202,64,33.82,,
84,S025,Student_25,22,Male,Bangalore,26/12/2023,WD404,18,30.83,,
85,S026,Student_26,24,Male,Chennai,7/10/2023,PY202,247,77.41,,
86,S026,Student_26,24,Male,Chennai,7/10/2023,UX303,154,94.84,,
87,S026,Student_26,24,Male,Chennai,7/10/2023,WD404,99,93.15,,
88,S027,Student_27,26,Other,Delhi,3/8/2023,DM101,78,61.86,,
89,S027,Student_27,26,Other,Delhi,3/8/2023,PY202,299,68.64,,
90,S027,Student_27,26,Other,Delhi,3/8/2023,UX303,405,87.2,,
91,S027,Student_27,26,Other,Delhi,3/8/2023,WD404,149,50.93,,
92,S028,Student_28,24,Other,Delhi,23/04/2023,DM101,192,59.43,,
93,S028,Student_28,24,Other,Delhi,23/04/2023,PY202,50,37.97,,
94,S028,Student_28,24,Other,Delhi,23/04/2023,UX303,310,97.32,,
95,S028,Student_28,24,Other,Delhi,23/04/2023,WD404,33,69.19,1,Very helpful
96,S029,Student_29,21,Other,Mumbai,18/08/2023,PY202,58,92.97,,
98,S029,Student_29,21,Other,Mumbai,18/08/2023,WD404,445,84.89,,
99,S030,Student_30,31,Female,Mumbai,29/10/2023,DM101,116,40.59,4,Too fast-paced
100,S030,Student_30,31,Female,Mumbai,29/10/2023,UX303,233,78.66,,
101,S030,Student_30,31,Female,Mumbai,29/10/2023,WD404,216,88.26,,
102,S031,Student_31,26,Female,Bangalore,23/05/2023,PY202,149,80.34,,
103,S031,Student_31,26,Female,Bangalore,23/05/2023,UX303,122,18.97,,
104,S031,Student_31,26,Female,Bangalore,23/05/2023,WD404,268,46.9,,
105,S032,Student_32,19,Female,Chennai,4/1/2023,DM101,62,49.93,,
107,S032,Student_32,19,Female,Chennai,4/1/2023,UX303,445,88.51,,
108,S033,Student_33,32,Male,Mumbai,23/03/2023,PY202,169,60.93,,
109,S033,Student_33,32,Male,Mumbai,23/03/2023,UX303,105,48.76,,
110,S034,Student_34,24,Female,Delhi,24/12/2023,DM101,83,70.98,,
111,S034,Student_34,24,Female,Delhi,24/12/2023,PY202,282,95.07,1,Very helpful
112,S034,Student_34,24,Female,Delhi,24/12/2023,UX303,381,99.34,,
113,S034,Student_34,24,Female,Delhi,24/12/2023,WD404,205,99.94,,
114,S035,Student_35,29,Male,Chennai,5/8/2023,DM101,137,84.96,,
115,S035,Student_35,29,Male,Chennai,5/8/2023,PY202,58,65.88,4,Very helpful
116,S035,Student_35,29,Male,Chennai,5/8/2023,UX303,165,82.17,,
117,S036,Student_36,25,Male,Chennai,24/06/2023,DM101,175,13.55,5,Excellent instructor
118,S036,Student_36,25,Male,Chennai,24/06/2023,PY202,85,39.4,,
119,S036,Student_36,25,Male,Chennai,24/06/2023,UX303,138,92.21,,
120,S036,Student_36,25,Male,Chennai,24/06/2023,WD404,219,42.84,,
121,S037,Student_37,32,Female,Delhi,23/05/2023,DM101,104,70.55,,
122,S037,Student_37,32,Female,Delhi,23/05/2023,PY202,111,97.05,,
123,S037,Student_37,32,Female,Delhi,23/05/2023,UX303,325,96.66,3,Too fast-paced
124,S038,Student_38,20,Female,Mumbai,21/03/2023,DM101,21,95.16,,
125,S038,Student_38,20,Female,Mumbai,21/03/2023,PY202,142,65.76,,
126,S038,Student_38,20,Female,Mumbai,21/03/2023,UX303,105,68.29,,
127,S038,Student_38,20,Female,Mumbai,21/03/2023,WD404,192,68.43,3,Great course!
128,S039,Student_39,31,Female,Delhi,21/04/2023,DM101,95,31.92,5,Too fast-paced
129,S039,Student_39,31,Female,Delhi,21/04/2023,PY202,239,18.91,,
130,S039,Student_39,31,Female,Delhi,21/04/2023,UX303,279,42.28,,
131,S039,Student_39,31,Female,Delhi,21/04/2023,WD404,453,97.14,,
132,S040,Student_40,34,Other,Chennai,22/06/2023,DM101,60,98.88,5,Too fast-paced
133,S040,Student_40,34,Other,Chennai,22/06/2023,PY202,186,79.69,,
134,S040,Student_40,34,Other,Chennai,22/06/2023,UX303,80,76.75,,
135,S041,Student_41,21,Female,Kolkata,22/02/2023,DM101,537,86.26,,
137,S042,Student_42,25,Other,Kolkata,17/02/2023,DM101,583,88.99,,
138,S042,Student_42,25,Other,Kolkata,17/02/2023,PY202,294,89.93,,
139,S042,Student_42,25,Other,Kolkata,17/02/2023,UX303,162,57.75,,
140,S042,Student_42,25,Other,Kolkata,17/02/2023,WD404,290,48.72,1,Could be better
141,S043,Student_43,21,Male,Bangalore,14/07/2023,DM101,120,18.69,,
142,S043,Student_43,21,Male,Bangalore,14/07/2023,PY202,133,30.18,,
143,S043,Student_43,21,Male,Bangalore,14/07/2023,UX303,481,55.67,1,Great course!
144,S043,Student_43,21,Male,Bangalore,14/07/2023,WD404,83,64.04,,
145,S044,Student_44,19,Other,Delhi,19/02/2023,DM101,178,84.65,,
146,S044,Student_44,19,Other,Delhi,19/02/2023,UX303,227,82.65,,
147,S045,Student_45,23,Female,Delhi,3/7/2023,DM101,79,34.49,,
148,S045,Student_45,23,Female,Delhi,3/7/2023,PY202,401,74.94,1,Great course!
149,S045,Student_45,23,Female,Delhi,3/7/2023,UX303,11,26.33,,
150,S046,Student_46,27,Male,Bangalore,26/06/2023,DM101,360,77.23,,
151,S046,Student_46,27,Male,Bangalore,26/06/2023,PY202,374,85,,
152,S046,Student_46,27,Male,Bangalore,26/06/2023,UX303,66,45.57,,
153,S046,Student_46,27,Male,Bangalore,26/06/2023,WD404,123,47.28,4,Excellent instructor
154,S047,Student_47,21,Male,Bangalore,6/11/2023,DM101,124,96.96,,
155,S047,Student_47,21,Male,Bangalore,6/11/2023,PY202,287,84.88,,
156,S047,Student_47,21,Male,Bangalore,6/11/2023,UX303,121,86,,
157,S047,Student_47,21,Male,Bangalore,6/11/2023,WD404,263,61.82,1,Too fast-paced
158,S048,Student_48,29,Male,Bangalore,16/05/2023,DM101,310,54.47,,
159,S048,Student_48,29,Male,Bangalore,16/05/2023,PY202,96,78.42,,
160,S048,Student_48,29,Male,Bangalore,16/05/2023,UX303,204,83.35,,
162,S049,Student_49,19,Other,Chennai,23/01/2023,DM101,688,82.99,5,Very helpful
163,S049,Student_49,19,Other,Chennai,23/01/2023,UX303,245,55.12,,
164,S049,Student_49,19,Other,Chennai,23/01/2023,WD404,151,95.88,,
165,S050,Student_50,27,Female,Delhi,24/08/2023,DM101,350,40.12,,
166,S050,Student_50,27,Female,Delhi,24/08/2023,PY202,257,99.19,,
167,S050,Student_50,27,Female,Delhi,24/08/2023,UX303,330,96.8,,
168,S050,Student_50,27,Female,Delhi,24/08/2023,WD404,96,71.1,1,Well structured
169,S051,Student_51,21,Male,Chennai,2/10/2023,DM101,153,43.9,2,Could be better
170,S051,Student_51,21,Male,Chennai,2/10/2023,UX303,321,72.86,,
171,S051,Student_51,21,Male,Chennai,2/10/2023,WD404,264,73.8,,
172,S052,Student_52,31,Male,Bangalore,5/3/2023,DM101,244,88.88,,
173,S052,Student_52,31,Male,Bangalore,5/3/2023,PY202,457,95.29,,
174,S052,Student_52,31,Male,Bangalore,5/3/2023,WD404,67,100,5,Very helpful
175,S053,Student_53,33,Male,Delhi,13/07/2023,PY202,166,35.64,2,Needs improvement
176,S053,Student_53,33,Male,Delhi,13/07/2023,WD404,447,80.03,,
177,S054,Student_54,32,Other,Chennai,10/2/2023,DM101,31,78.68,,
178,S054,Student_54,32,Other,Chennai,10/2/2023,PY202,164,22.46,,
179,S054,Student_54,32,Other,Chennai,10/2/2023,UX303,592,99.51,,
180,S054,Student_54,32,Other,Chennai,10/2/2023,WD404,66,83.5,,
181,S055,Student_55,25,Other,Chennai,10/10/2023,DM101,75,29.41,3,Loved the examples
182,S055,Student_55,25,Other,Chennai,10/10/2023,UX303,45,13.45,,
183,S055,Student_55,25,Other,Chennai,10/10/2023,WD404,212,78.3,,
184,S056,Student_56,31,Female,Bangalore,31/05/2023,DM101,71,47.78,,
185,S056,Student_56,31,Female,Bangalore,31/05/2023,PY202,84,48.63,,
187,S056,Student_56,31,Female,Bangalore,31/05/2023,WD404,268,85.3,,
188,S057,Student_57,25,Other,Delhi,18/11/2023,DM101,327,22.01,,
189,S057,Student_57,25,Other,Delhi,18/11/2023,PY202,244,98.27,,
190,S057,Student_57,25,Other,Delhi,18/11/2023,UX303,194,83.22,2,Too fast-paced
191,S057,Student_57,25,Other,Delhi,18/11/2023,WD404,74,77.26,,
192,S058,Student_58,33,Male,Bangalore,13/11/2023,DM101,124,48.75,,
193,S058,Student_58,33,Male,Bangalore,13/11/2023,PY202,217,94,4,Could be better
194,S058,Student_58,33,Male,Bangalore,13/11/2023,UX303,112,76.9,,
195,S058,Student_58,33,Male,Bangalore,13/11/2023,WD404,415,54.66,,
196,S059,Student_59,30,Female,Delhi,5/7/2023,DM101,167,99.83,1,Could be better
197,S059,Student_59,30,Female,Delhi,5/7/2023,UX303,184,64.24,,
198,S059,Student_59,30,Female,Delhi,5/7/2023,WD404,123,41.64,,
199,S060,Student_60,32,Male,Kolkata,23/10/2023,DM101,277,57.65,,
200,S060,Student_60,32,Male,Kolkata,23/10/2023,PY202,122,13.13,,
201,S060,Student_60,32,Male,Kolkata,23/10/2023,UX303,50,95.75,,
202,S060,Student_60,32,Male,Kolkata,23/10/2023,WD404,339,64.46,,
203,S061,Student_61,30,Male,Mumbai,9/4/2023,DM101,202,90.88,2,Very helpful
204,S061,Student_61,30,Male,Mumbai,9/4/2023,UX303,240,25.67,,
205,S061,Student_61,30,Male,Mumbai,9/4/2023,WD404,298,70.11,,
206,S062,Student_62,26,Other,Mumbai,27/12/2023,DM101,180,67.81,,
207,S062,Student_62,26,Other,Mumbai,27/12/2023,PY202,136,12.37,4,Needs improvement
208,S062,Student_62,26,Other,Mumbai,27/12/2023,UX303,151,21.68,,
209,S062,Student_62,26,Other,Mumbai,27/12/2023,WD404,257,79.22,,
210,S063,Student_63,32,Female,Mumbai,5/2/2023,DM101,202,67.16,,
211,S063,Student_63,32,Female,Mumbai,5/2/2023,PY202,372,94.13,2,Loved the examples
212,S064,Student_64,30,Other,Bangalore,24/01/2023,DM101,195,95.37,,
213,S064,Student_64,30,Other,Bangalore,24/01/2023,PY202,265,66.2,,
214,S064,Student_64,30,Other,Bangalore,24/01/2023,UX303,83,84.27,,
215,S064,Student_64,30,Other,Bangalore,24/01/2023,WD404,173,12.73,4,Great course!
216,S065,Student_65,18,Other,Kolkata,5/12/2023,DM101,122,47.41,4,Loved the examples
217,S065,Student_65,18,Other,Kolkata,5/12/2023,PY202,141,60.55,,
218,S065,Student_65,18,Other,Kolkata,5/12/2023,UX303,299,97.78,,
219,S065,Student_65,18,Other,Kolkata,5/12/2023,WD404,223,64.6,,
220,S066,Student_66,24,Female,Delhi,27/04/2023,DM101,319,89.42,,
221,S066,Student_66,24,Female,Delhi,27/04/2023,PY202,487,99.64,,
223,S066,Student_66,24,Female,Delhi,27/04/2023,WD404,352,54.76,,
224,S067,Student_67,26,Male,Chennai,29/05/2023,DM101,124,81.54,5,Excellent instructor
225,S067,Student_67,26,Male,Chennai,29/05/2023,PY202,291,46.12,,
226,S067,Student_67,26,Male,Chennai,29/05/2023,UX303,269,77.95,,
227,S067,Student_67,26,Male,Chennai,29/05/2023,WD404,146,78.8,,
228,S068,Student_68,18,Male,Delhi,10/2/2023,DM101,225,70.64,,
229,S068,Student_68,18,Male,Delhi,10/2/2023,PY202,325,53.24,,
230,S068,Student_68,18,Male,Delhi,10/2/2023,WD404,454,81.71,,
231,S069,Student_69,29,Female,Chennai,30/04/2023,DM101,59,56.68,,
232,S069,Student_69,29,Female,Chennai,30/04/2023,PY202,72,12.84,,
233,S069,Student_69,29,Female,Chennai,30/04/2023,UX303,492,92.09,,
234,S069,Student_69,29,Female,Chennai,30/04/2023,WD404,281,92.85,3,Loved the examples
236,S070,Student_70,25,Male,Delhi,21/02/2023,PY202,20,35.89,,
237,S070,Student_70,25,Male,Delhi,21/02/2023,UX303,190,72.12,,
238,S070,Student_70,25,Male,Delhi,21/02/2023,WD404,230,95.91,,
239,S071,Student_71,28,Female,Kolkata,14/07/2023,PY202,22,70.29,,
240,S071,Student_71,28,Female,Kolkata,14/07/2023,UX303,256,33.08,,
241,S071,Student_71,28,Female,Kolkata,14/07/2023,WD404,61,84.52,2,Too fast-paced
242,S072,Student_72,34,Female,Chennai,23/05/2023,DM101,156,30.9,,
243,S072,Student_72,34,Female,Chennai,23/05/2023,PY202,212,94.15,,
244,S072,Student_72,34,Female,Chennai,23/05/2023,UX303,83,68.13,5,Too fast-paced
245,S072,Student_72,34,Female,Chennai,23/05/2023,WD404,221,27.95,,
246,S073,Student_73,25,Other,Bangalore,21/08/2023,DM101,136,26.77,,
247,S073,Student_73,25,Other,Bangalore,21/08/2023,PY202,55,94.05,,
248,S073,Student_73,25,Other,Bangalore,21/08/2023,UX303,12,36.86,,
251,S074,Student_74,20,Female,Delhi,22/11/2023,PY202,94,24.62,,
252,S074,Student_74,20,Female,Delhi,22/11/2023,UX303,126,99.02,,
253,S074,Student_74,20,Female,Delhi,22/11/2023,WD404,214,74.67,,
254,S075,Student_75,20,Other,Delhi,6/7/2023,PY202,166,87.05,,
255,S075,Student_75,20,Other,Delhi,6/7/2023,UX303,155,70.7,,
256,S075,Student_75,20,Other,Delhi,6/7/2023,WD404,141,39.51,1,Well structured
257,S076,Student_76,18,Male,Chennai,25/03/2023,DM101,222,52.97,,
258,S076,Student_76,18,Male,Chennai,25/03/2023,PY202,305,50.95,,
259,S076,Student_76,18,Male,Chennai,25/03/2023,UX303,320,71.75,,
260,S076,Student_76,18,Male,Chennai,25/03/2023,WD404,94,37.18,5,Very helpful
261,S077,Student_77,22,Male,Bangalore,9/7/2023,DM101,124,57.54,,
262,S077,Student_77,22,Male,Bangalore,9/7/2023,PY202,444,88.58,5,Could be better
263,S077,Student_77,22,Male,Bangalore,9/7/2023,UX303,277,20.46,,
264,S077,Student_77,22,Male,Bangalore,9/7/2023,WD404,276,92.15,,
265,S078,Student_78,27,Male,Bangalore,1/7/2023,DM101,288,16.57,,
266,S078,Student_78,27,Male,Bangalore,1/7/2023,PY202,99,20.68,,
267,S078,Student_78,27,Male,Bangalore,1/7/2023,UX303,111,32.9,5,Needs improvement
268,S078,Student_78,27,Male,Bangalore,1/7/2023,WD404,231,78.92,,
269,S079,Student_79,24,Male,Kolkata,18/04/2023,DM101,425,70.48,,
270,S079,Student_79,24,Male,Kolkata,18/04/2023,PY202,133,94.37,,
271,S079,Student_79,24,Male,Kolkata,18/04/2023,UX303,149,48.17,,
272,S079,Student_79,24,Male,Kolkata,18/04/2023,WD404,73,51.46,,
274,S080,Student_80,26,Other,Bangalore,10/12/2023,PY202,84,31.07,,
275,S080,Student_80,26,Other,Bangalore,10/12/2023,UX303,250,88.86,,
276,S081,Student_81,24,Male,Bangalore,17/05/2023,DM101,174,70.42,4,Needs improvement
277,S081,Student_81,24,Male,Bangalore,17/05/2023,PY202,119,60.03,,
278,S081,Student_81,24,Male,Bangalore,17/05/2023,UX303,173,77.9,,
279,S081,Student_81,24,Male,Bangalore,17/05/2023,WD404,147,37.07,,
280,S082,Student_82,26,Female,Bangalore,26/12/2023,DM101,104,18.32,,
281,S082,Student_82,26,Female,Bangalore,26/12/2023,PY202,140,43.95,,
282,S082,Student_82,26,Female,Bangalore,26/12/2023,WD404,298,47.14,2,Too fast-paced
283,S083,Student_83,25,Female,Mumbai,16/12/2023,DM101,160,75.19,5,Well structured
284,S083,Student_83,25,Female,Mumbai,16/12/2023,PY202,63,88.25,,
285,S083,Student_83,25,Female,Mumbai,16/12/2023,UX303,13,29.06,,
286,S084,Student_84,29,Female,Kolkata,28/11/2023,DM101,72,72.61,,
287,S084,Student_84,29,Female,Kolkata,28/11/2023,PY202,71,59.69,,
288,S084,Student_84,29,Female,Kolkata,28/11/2023,UX303,205,58.03,,
289,S084,Student_84,29,Female,Kolkata,28/11/2023,WD404,97,82.25,,
290,S085,Student_85,19,Other,Delhi,6/2/2023,DM101,217,94.13,,
291,S085,Student_85,19,Other,Delhi,6/2/2023,PY202,155,85,,
292,S085,Student_85,19,Other,Delhi,6/2/2023,UX303,180,96.99,,
293,S085,Student_85,19,Other,Delhi,6/2/2023,WD404,427,99.13,,
294,S086,Student_86,18,Male,Chennai,8/11/2023,DM101,22,78.79,,
295,S086,Student_86,18,Male,Chennai,8/11/2023,PY202,65,55.52,,
296,S086,Student_86,18,Male,Chennai,8/11/2023,WD404,171,30.83,,
297,S087,Student_87,33,Male,Delhi,22/11/2023,DM101,286,70.01,1,Well structured
298,S087,Student_87,33,Male,Delhi,22/11/2023,PY202,59,65.78,,
299,S087,Student_87,33,Male,Delhi,22/11/2023,UX303,161,81.54,,
300,S087,Student_87,33,Male,Delhi,22/11/2023,WD404,185,92.62,,
301,S088,Student_88,22,Male,Kolkata,29/03/2023,DM101,177,91.11,1,Too fast-paced
302,S088,Student_88,22,Male,Kolkata,29/03/2023,PY202,167,86.08,,
303,S088,Student_88,22,Male,Kolkata,29/03/2023,UX303,34,90.53,,
304,S088,Student_88,22,Male,Kolkata,29/03/2023,WD404,173,10.85,,
305,S089,Student_89,20,Other,Chennai,1/10/2023,DM101,98,14.83,,
306,S089,Student_89,20,Other,Chennai,1/10/2023,PY202,152,96.53,4,Excellent instructor
307,S089,Student_89,20,Other,Chennai,1/10/2023,UX303,228,81.14,,
308,S089,Student_89,20,Other,Chennai,1/10/2023,WD404,114,67.07,,
309,S090,Student_90,29,Female,Kolkata,6/5/2023,DM101,414,81.82,3,Well structured
310,S090,Student_90,29,Female,Kolkata,6/5/2023,PY202,91,42.46,,
311,S090,Student_90,29,Female,Kolkata,6/5/2023,UX303,43,17.86,,
312,S090,Student_90,29,Female,Kolkata,6/5/2023,WD404,327,69.46,,
313,S091,Student_91,25,Female,Bangalore,25/03/2023,DM101,403,85.75,3,Very helpful
314,S091,Student_91,25,Female,Bangalore,25/03/2023,PY202,280,63.44,,
315,S091,Student_91,25,Female,Bangalore,25/03/2023,UX303,107,54.38,,
316,S092,Student_92,20,Male,Chennai,25/08/2023,DM101,63,49.46,,
317,S092,Student_92,20,Male,Chennai,25/08/2023,PY202,331,64.29,,
318,S092,Student_92,20,Male,Chennai,25/08/2023,UX303,225,83.71,,
319,S092,Student_92,20,Male,Chennai,25/08/2023,WD404,156,76.14,3,Well structured
320,S093,Student_93,18,Female,Bangalore,14/07/2023,DM101,73,69.18,1,Needs improvement
321,S093,Student_93,18,Female,Bangalore,14/07/2023,UX303,371,74.37,,
322,S093,Student_93,18,Female,Bangalore,14/07/2023,WD404,547,99.16,,
323,S094,Student_94,20,Female,Delhi,19/05/2023,PY202,121,53.45,4,Well structured
324,S094,Student_94,20,Female,Delhi,19/05/2023,UX303,171,77.22,,
325,S095,Student_95,22,Other,Delhi,24/11/2023,DM101,125,38.7,3,Too fast-paced
326,S095,Student_95,22,Other,Delhi,24/11/2023,PY202,133,41.35,,
327,S095,Student_95,22,Other,Delhi,24/11/2023,UX303,173,70.94,,
329,S096,Student_96,32,Other,Chennai,19/12/2023,PY202,386,59.67,,
330,S096,Student_96,32,Other,Chennai,19/12/2023,UX303,119,96.26,,
331,S096,Student_96,32,Other,Chennai,19/12/2023,WD404,17,76.36,,
332,S097,Student_97,31,Other,Chennai,13/10/2023,DM101,36,81.96,,
333,S097,Student_97,31,Other,Chennai,13/10/2023,PY202,174,77.71,5,Loved the examples
334,S098,Student_98,20,Other,Kolkata,23/04/2023,DM101,100,86.1,,
335,S098,Student_98,20,Other,Kolkata,23/04/2023,PY202,86,92.68,,
336,S098,Student_98,20,Other,Kolkata,23/04/2023,UX303,244,65.02,,
338,S099,Student_99,18,Male,Kolkata,17/12/2023,DM101,105,72.41,,
339,S099,Student_99,18,Male,Kolkata,17/12/2023,PY202,40,31.47,,
340,S099,Student_99,18,Male,Kolkata,17/12/2023,WD404,219,53.8,5,Needs improvement
342,S100,Student_100,22,Other,Bangalore,16/06/2023,PY202,83,22.63,,
343,S100,Student_100,22,Other,Bangalore,16/06/2023,UX303,302,22.29,,
344,S100,Student_100,22,Other,Bangalore,16/06/2023,WD404,274,68.78,,
